width: 600; height: 400
initialCount: 312, energy: 500, r: 1, growthRate: 0.1
initialCount: 50, energy: 500, metabolism: 1, reproductionThreshold: 1000, size: 9, speed: 0.2, type: Bloop2
Time	Food	Creatures	MeanSize	MinSize	MaxSize
1989900	65	70	169.68571428571428	166	174
1990000	63	65	169.76923076923077	166	174
1990100	63	64	169.8125	166	174
1990200	54	67	169.77611940298507	166	174
1990300	47	69	169.85507246376812	166	174
1990400	49	64	169.796875	166	174
1990500	49	62	169.90322580645162	166	174
1990600	46	59	169.79661016949152	166	174
1990700	51	55	169.6909090909091	166	174
1990800	59	55	170	166	174
1990900	61	55	170.05454545454546	166	174
1991000	63	57	169.94736842105263	166	174
1991100	61	56	169.96428571428572	166	174
1991200	68	53	169.9056603773585	166	174
1991300	77	49	169.83673469387756	167	174
1991400	79	51	169.7843137254902	167	174
1991500	77	50	169.78	167	174
1991600	82	53	169.9811320754717	167	174
1991700	82	55	170.01818181818183	167	174
1991800	75	56	169.92857142857142	168	174
1991900	75	52	169.90384615384616	168	174
1992000	74	55	169.8909090909091	167	174
1992100	69	58	169.8448275862069	167	174
1992200	73	55	169.72727272727272	167	174
1992300	79	52	169.73076923076923	167	174
1992400	83	52	169.80769230769232	167	174
1992500	77	50	169.66	167	174
1992600	80	47	169.59574468085106	167	174
1992700	85	40	169.425	167	174
1992800	89	39	169.48717948717947	167	175
1992900	85	46	169.67391304347825	167	175
1993000	86	52	169.53846153846155	167	175
1993100	93	54	169.5	167	175
1993200	80	60	169.26666666666668	166	175
1993300	73	67	169.28358208955223	166	176
1993400	70	71	169.1267605633803	166	176
1993500	65	72	169.02777777777777	166	176
1993600	59	77	168.96103896103895	166	176
1993700	65	71	168.98591549295776	166	176
1993800	58	73	168.9041095890411	166	176
1993900	61	67	168.955223880597	166	176
1994000	58	65	168.95384615384614	166	176
1994100	63	57	168.9298245614035	166	176
1994200	75	51	168.86274509803923	166	176
1994300	79	55	169.4181818181818	166	177
1994400	78	57	169.35087719298247	166	177
1994500	84	54	169.59259259259258	166	177
1994600	78	60	169.93333333333334	166	177
1994700	79	62	169.90322580645162	166	177
1994800	82	61	169.62295081967213	166	176
1994900	88	59	169.57627118644066	166	176
1995000	87	67	169.6865671641791	166	176
1995100	87	68	169.58823529411765	166	176
1995200	87	67	169.44776119402985	166	176
1995300	87	66	169.57575757575756	166	176
1995400	81	71	169.54929577464787	166	176
1995500	73	81	169.44444444444446	166	176
1995600	75	81	169.09876543209876	166	176
1995700	75	80	169.0625	166	176
1995800	73	78	168.97435897435898	166	175
1995900	65	78	168.85897435897436	166	175
1996000	64	70	168.95714285714286	166	175
1996100	61	63	168.76190476190476	166	175
1996200	60	59	168.74576271186442	166	175
1996300	57	58	169.08620689655172	166	175
1996400	58	55	169.16363636363636	166	175
1996500	67	50	169.06	166	175
1996600	70	53	169.16981132075472	166	175
1996700	68	53	169.28301886792454	166	175
1996800	63	52	169.3846153846154	166	175
1996900	68	48	168.97916666666666	166	175
1997000	74	48	168.97916666666666	166	175
1997100	71	49	169.0612244897959	166	176
1997200	77	47	169.12765957446808	166	176
1997300	76	45	169.06666666666666	166	176
1997400	80	46	169.08695652173913	166	176
1997500	82	49	169.12244897959184	166	176
1997600	84	48	169.22916666666666	165	176
1997700	86	50	168.82	165	174
1997800	80	59	168.72881355932202	165	174
1997900	76	62	168.8548387096774	165	174
1998000	76	64	168.953125	165	174
1998100	77	63	168.9047619047619	165	174
1998200	75	58	168.89655172413794	166	171
1998300	82	52	168.90384615384616	166	171
1998400	78	57	168.82456140350877	166	171
1998500	71	57	168.7017543859649	166	171
1998600	63	61	168.62295081967213	166	171
1998700	70	56	168.51785714285714	166	171
1998800	84	53	168.47169811320754	166	171
1998900	78	51	168.33333333333334	165	171
1999000	82	54	168.1851851851852	165	171
1999100	87	55	168.1818181818182	165	171
1999200	92	51	168.15686274509804	165	171
1999300	96	50	168.26	165	171
1999400	102	48	168.22916666666666	165	171
1999500	97	52	168.48076923076923	165	171
1999600	92	54	168.5	165	171
1999700	94	52	168.51923076923077	165	171
1999800	82	63	168.26984126984127	165	171
1999900	77	71	168.2112676056338	164	171
2000000	81	71	168.25352112676057	164	171
2000100	74	71	168.19718309859155	164	171
2000200	70	70	168.2	164	171
2000300	68	70	168.15714285714284	164	171
2000400	73	62	168.43548387096774	165	171
2000500	73	58	168.3793103448276	165	172
2000600	78	55	168.4909090909091	166	172
2000700	74	62	168.30645161290323	166	172
2000800	66	64	168.34375	166	172
2000900	68	63	168.38095238095238	166	172
2001000	61	69	168.47826086956522	166	172
2001100	70	68	168.47058823529412	166	172
2001200	69	58	168.58620689655172	167	172
2001300	69	55	168.6727272727273	167	172
2001400	82	51	168.8235294117647	167	172
2001500	86	45	168.64444444444445	167	172
2001600	81	50	168.46	166	172
2001700	80	50	168.5	166	172
2001800	80	45	168.48888888888888	166	172
2001900	85	46	168.3913043478261	166	172
2002000	89	44	168.27272727272728	165	172
2002100	97	49	168.20408163265307	165	171
2002200	91	53	168.24528301886792	165	172
2002300	89	61	168.34426229508196	165	172
2002400	84	61	168.2622950819672	165	172
2002500	75	65	168.2	165	172
2002600	70	62	168.3548387096774	166	172
2002700	65	66	168.43939393939394	166	172
2002800	57	66	168.42424242424244	166	172
2002900	59	69	168.28985507246378	165	172
2003000	60	69	168.2463768115942	165	172
2003100	59	67	168.23880597014926	165	172
2003200	53	74	168.1891891891892	165	172
2003300	57	66	168.06060606060606	165	172
2003400	57	64	168.15625	165	172
2003500	56	58	168.17241379310346	165	172
2003600	54	60	168.11666666666667	165	172
2003700	50	64	168.25	165	172
2003800	51	60	168.35	166	172
2003900	53	57	168.3684210526316	166	172
2004000	56	55	168.34545454545454	166	172
2004100	59	56	168.46428571428572	166	172
2004200	61	47	168.51063829787233	166	172
2004300	67	43	168.48837209302326	166	172
2004400	76	40	168.375	166	171
2004500	76	38	168	166	171
2004600	86	31	168	166	171
2004700	90	31	168	166	171
2004800	100	30	167.96666666666667	166	171
2004900	109	32	168	166	171
2005000	115	35	168.0857142857143	166	171
2005100	112	33	168.3939393939394	166	171
2005200	117	30	168.4	166	171
2005300	119	33	168.4848484848485	166	171
2005400	125	34	168.38235294117646	166	171
2005500	129	39	168.46153846153845	166	171
2005600	129	40	168.475	166	171
2005700	127	43	168.53488372093022	166	171
2005800	129	46	168.69565217391303	166	172
2005900	132	46	168.7391304347826	166	172
2006000	126	54	168.62962962962962	166	172
2006100	121	52	168.65384615384616	166	172
2006200	119	58	168.74137931034483	166	172
2006300	104	64	168.5625	166	172
2006400	100	70	168.57142857142858	166	172
2006500	94	81	168.60493827160494	166	172
2006600	90	89	168.5505617977528	166	172
2006700	83	92	168.54347826086956	166	172
2006800	82	97	168.53608247422682	166	172
2006900	67	99	168.4848484848485	166	172
2007000	65	98	168.3877551020408	166	172
2007100	70	91	168.4945054945055	166	173
2007200	64	82	168.53658536585365	166	173
2007300	64	75	168.48	166	173
2007400	64	76	168.46052631578948	166	173
2007500	59	68	168.41176470588235	166	173
2007600	62	62	168.32258064516128	166	173
2007700	62	54	168.2037037037037	166	173
2007800	60	60	168.18333333333334	165	173
2007900	56	60	168.3	165	173
2008000	57	55	168.27272727272728	165	173
2008100	52	56	168.16071428571428	165	172
2008200	53	52	168.1153846153846	165	172
2008300	58	51	168.2549019607843	165	173
2008400	54	53	168.0188679245283	166	173
2008500	60	48	168.04166666666666	166	173
2008600	75	43	167.8372093023256	166	173
2008700	74	45	167.82222222222222	166	173
2008800	84	44	167.6818181818182	166	173
2008900	87	39	167.69230769230768	166	173
2009000	87	44	167.75	166	173
2009100	85	49	167.73469387755102	166	173
2009200	86	48	167.83333333333334	166	173
2009300	86	50	167.88	166	173
2009400	89	53	167.8679245283019	166	173
2009500	85	60	167.76666666666668	166	173
2009600	85	63	167.85714285714286	166	173
2009700	85	64	167.859375	166	173
2009800	82	74	167.72972972972974	164	171
2009900	73	82	167.6951219512195	164	171
2010000	71	85	167.69411764705882	164	171
2010100	62	85	167.58823529411765	164	171
2010200	61	84	167.5595238095238	164	171
2010300	56	82	167.46341463414635	164	171
2010400	50	85	167.35294117647058	164	171
2010500	53	81	167.28395061728395	164	171
2010600	56	68	167.23529411764707	164	171
2010700	62	71	167.29577464788733	164	171
2010800	56	71	167.07042253521126	164	171
2010900	58	60	167.26666666666668	165	171
2011000	58	54	167.2962962962963	165	171
2011100	54	50	167.28	165	171
2011200	56	49	167.42857142857142	165	171
2011300	59	46	167.3695652173913	165	170
2011400	67	43	167.27906976744185	164	170
2011500	75	40	167.3	164	170
2011600	67	42	167.4047619047619	164	170
2011700	68	41	167.4878048780488	164	170
2011800	69	38	167.42105263157896	164	170
2011900	69	36	167.38888888888889	164	170
2012000	72	41	167.2439024390244	164	170
2012100	74	44	167.1818181818182	164	170
2012200	76	47	167.2127659574468	164	170
2012300	76	47	167.17021276595744	164	170
2012400	74	52	167.21153846153845	164	170
2012500	77	55	167.29090909090908	164	170
2012600	84	55	167.3272727272727	164	170
2012700	81	54	167.24074074074073	164	170
2012800	81	52	167.21153846153845	164	170
2012900	82	51	167.27450980392157	165	170
2013000	79	52	167.40384615384616	165	170
2013100	80	53	167.45283018867926	165	170
2013200	88	53	167.49056603773585	165	171
2013300	93	54	167.53703703703704	165	171
2013400	96	60	167.65	165	171
2013500	81	60	167.58333333333334	165	171
2013600	76	65	167.58461538461538	165	171
2013700	68	68	167.52941176470588	165	171
2013800	70	76	167.57894736842104	165	171
2013900	67	73	167.6027397260274	165	171
2014000	63	74	167.59459459459458	165	171
2014100	65	74	167.63513513513513	165	171
2014200	63	71	167.59154929577466	165	171
