width: 600; height: 400
initialCount: 312, energy: 500, r: 1, growthRate: 0.1
initialCount: 50, energy: 500, metabolism: 1, reproductionThreshold: 1000, size: 9, speed: 0.2, type: Bloop2
Time	Food	Creatures	MeanSize
201000	337	66	9.454545454545455
201100	347	61	9.508196721311476
201200	346	61	9.639344262295081
201300	343	59	9.59322033898305
201400	330	68	9.514705882352942
201500	334	65	9.584615384615384
201600	320	65	9.415384615384616
201700	320	70	9.371428571428572
201800	315	73	9.273972602739725
201900	311	71	9.295774647887324
202000	313	69	9.376811594202898
202100	311	68	9.308823529411764
202200	312	69	9.27536231884058
202300	302	71	9.183098591549296
202400	303	68	9.088235294117647
202500	300	67	8.940298507462687
202600	295	71	9
202700	291	72	8.98611111111111
202800	293	70	9.071428571428571
202900	282	71	9.098591549295774
203000	290	68	9.088235294117647
203100	293	63	9.095238095238095
203200	291	55	8.981818181818182
203300	292	56	8.821428571428571
203400	300	54	8.722222222222221
203500	301	53	8.88679245283019
203600	294	51	8.980392156862745
203700	296	51	8.823529411764707
203800	299	51	8.941176470588236
203900	301	48	9.145833333333334
204000	311	46	8.91304347826087
204100	308	48	9.041666666666666
204200	309	49	8.816326530612244
204300	316	42	8.952380952380953
204400	310	40	8.875
204500	313	43	9.046511627906977
204600	312	48	9.0625
204700	320	52	9
204800	319	53	8.90566037735849
204900	323	54	8.851851851851851
205000	318	57	8.701754385964913
205100	320	61	8.721311475409836
205200	312	64	9.0625
205300	318	63	9.063492063492063
205400	315	66	9.075757575757576
205500	318	69	9.217391304347826
205600	312	63	9.412698412698413
205700	318	63	9.65079365079365
205800	313	61	9.540983606557377
205900	305	65	9.461538461538462
206000	301	69	9.565217391304348
206100	298	68	9.647058823529411
206200	289	62	9.629032258064516
206300	288	61	9.62295081967213
206400	294	60	9.633333333333333
206500	292	51	9.686274509803921
206600	296	51	9.333333333333334
206700	301	50	9.36
206800	301	46	9.369565217391305
206900	295	50	9.38
207000	296	48	9.333333333333334
207100	304	49	9.408163265306122
207200	304	53	9.528301886792454
207300	306	54	9.5
207400	305	51	9.411764705882353
207500	303	49	9.408163265306122
207600	310	47	9.553191489361701
207700	315	47	9.53191489361702
207800	319	49	9.53061224489796
207900	317	47	9.446808510638299
208000	311	52	9.442307692307692
208100	315	49	9.387755102040817
208200	314	50	9.22
208300	311	53	9.377358490566039
208400	310	56	9.25
208500	311	60	9.216666666666667
208600	314	56	9.357142857142858
208700	313	55	9.272727272727273
208800	319	57	9.31578947368421
208900	316	60	9.316666666666666
209000	306	65	9.446153846153846
209100	300	63	9.365079365079366
209200	286	76	9.25
209300	283	75	9.226666666666667
209400	275	78	9.346153846153847
209500	275	73	9.452054794520548
209600	273	76	9.513157894736842
209700	257	77	9.584415584415584
209800	260	73	9.643835616438356
209900	254	76	9.710526315789474
210000	251	77	9.558441558441558
210100	244	79	9.60759493670886
210200	248	74	9.58108108108108
210300	248	68	9.485294117647058
210400	256	60	9.466666666666667
210500	248	57	9.263157894736842
210600	249	47	9.170212765957446
210700	251	45	9.177777777777777
210800	250	45	9.2
210900	252	49	9.244897959183673
211000	255	55	9.181818181818182
211100	260	44	9.227272727272727
211200	267	43	9.046511627906977
211300	263	49	9.061224489795919
211400	260	50	9.02
211500	265	49	9.020408163265307
211600	264	52	8.942307692307692
211700	265	56	8.910714285714286
211800	267	55	8.927272727272728
211900	262	53	9.018867924528301
212000	267	51	8.901960784313726
212100	276	45	8.866666666666667
212200	284	45	8.822222222222223
212300	280	44	9.022727272727273
212400	284	44	8.818181818181818
212500	288	42	8.761904761904763
212600	305	39	8.820512820512821
212700	311	37	8.864864864864865
212800	313	32	8.78125
212900	317	26	8.76923076923077
213000	315	26	8.692307692307692
213100	316	28	8.5
213200	332	31	8.483870967741936
213300	334	32	8.25
213400	336	32	8.15625
213500	339	33	8.030303030303031
213600	342	36	8.083333333333334
213700	344	41	7.975609756097561
213800	349	43	7.976744186046512
213900	341	42	7.880952380952381
214000	343	44	8
214100	337	44	8.181818181818182
214200	334	45	8.311111111111112
214300	336	46	8.173913043478262
214400	337	49	8.26530612244898
214500	342	50	8.3
214600	351	49	8.183673469387756
214700	346	50	8.28
214800	342	55	8.345454545454546
214900	337	57	8.350877192982455
215000	336	60	8.283333333333333
215100	337	64	8.140625
215200	335	66	8.090909090909092
215300	332	65	8
215400	325	57	7.824561403508772
215500	323	59	7.694915254237288
215600	320	66	7.575757575757576
215700	321	70	7.485714285714286
215800	319	69	7.391304347826087
215900	315	72	7.333333333333333
216000	308	76	7.223684210526316
216100	308	73	7.219178082191781
216200	300	71	7.253521126760563
216300	296	74	7.243243243243243
216400	295	79	7.215189873417722
216500	292	77	7.194805194805195
216600	279	79	7.2405063291139244
216700	271	79	7.291139240506329
216800	271	76	7.276315789473684
216900	260	76	7.2894736842105265
217000	258	75	7.373333333333333
217100	260	75	7.4
217200	263	72	7.305555555555555
217300	262	68	7.294117647058823
217400	264	61	7.131147540983607
217500	268	55	7.127272727272727
217600	266	53	7.113207547169812
217700	268	52	7.211538461538462
217800	267	46	7.239130434782608
217900	274	44	7.295454545454546
218000	275	44	7.25
218100	278	38	7.342105263157895
218200	279	35	7.485714285714286
218300	285	34	7.5
218400	290	31	7.354838709677419
218500	299	28	7.785714285714286
218600	306	29	7.827586206896552
218700	314	27	8.037037037037036
218800	317	27	8.222222222222221
218900	321	24	8.25
219000	326	24	7.875
219100	325	22	7.863636363636363
219200	337	26	7.615384615384615
219300	339	28	7.5
219400	344	28	7.392857142857143
219500	353	30	7.4
219600	361	31	7.419354838709677
219700	360	32	7.375
219800	366	31	7.451612903225806
219900	370	33	7.393939393939394
220000	373	38	7.447368421052632
