width: 600; height: 400
initialCount: 312, energy: 500, r: 1, growthRate: 0.1
initialCount: 50, energy: 500, metabolism: 1, reproductionThreshold: 1000, size: 9, speed: 0.2, type: Bloop2
Time	Food	Creatures	Size
67200	199	68	23.941176470588236
67300	196	67	24.01492537313433
67400	201	62	24
67500	199	62	24.048387096774192
67600	199	60	24.033333333333335
67700	196	54	24.296296296296298
67800	199	52	24.442307692307693
67900	201	52	24.692307692307693
68000	200	51	24.686274509803923
68100	203	51	24.745098039215687
68200	211	46	24.956521739130434
68300	207	41	25.048780487804876
68400	209	44	25.272727272727273
68500	211	38	25.44736842105263
68600	218	37	25.45945945945946
68700	227	32	25.25
68800	230	34	25.294117647058822
68900	234	33	25.12121212121212
69000	236	34	25.176470588235293
69100	237	37	25.243243243243242
69200	240	36	25.25
69300	240	38	25.263157894736842
69400	235	41	25.24390243902439
69500	235	44	25.181818181818183
69600	236	42	25.142857142857142
69700	236	39	25.102564102564102
69800	239	44	25.136363636363637
69900	241	46	25.08695652173913
70000	239	45	25.11111111111111
70100	236	50	25.22
70200	239	48	25.416666666666668
70300	234	54	25.62962962962963
70400	235	61	25.737704918032787
70500	227	63	25.77777777777778
70600	220	68	25.764705882352942
70700	219	70	25.757142857142856
70800	215	72	25.791666666666668
70900	208	73	25.698630136986303
71000	201	73	25.589041095890412
71100	189	76	25.56578947368421
71200	182	77	25.532467532467532
71300	186	78	25.602564102564102
71400	177	78	25.576923076923077
71500	177	75	25.506666666666668
71600	174	73	25.506849315068493
71700	177	68	25.558823529411764
71800	175	66	25.5
71900	182	57	25.45614035087719
72000	183	56	25.464285714285715
72100	181	54	25.555555555555557
72200	185	51	25.54901960784314
72300	191	46	25.58695652173913
72400	199	43	25.3953488372093
72500	195	44	25.40909090909091
72600	193	46	25.565217391304348
72700	190	53	25.547169811320753
72800	199	50	25.4
72900	199	49	25.346938775510203
73000	204	48	25.520833333333332
73100	197	53	25.528301886792452
73200	207	52	25.384615384615383
73300	214	51	25.392156862745097
73400	218	50	25.46
73500	210	50	25.3
73600	208	50	25.34
73700	216	49	25.387755102040817
73800	215	51	25.254901960784313
73900	211	54	25.25925925925926
74000	202	56	25.125
74100	196	54	25.203703703703702
74200	199	51	25.235294117647058
74300	201	46	25.08695652173913
74400	206	45	25.066666666666666
74500	209	41	25.24390243902439
74600	207	39	25.358974358974358
74700	210	37	25.08108108108108
74800	216	38	25.18421052631579
74900	223	39	25.17948717948718
75000	224	40	25.25
75100	228	41	25.195121951219512
75200	234	42	25.261904761904763
75300	236	45	25.4
75400	234	47	25.04255319148936
75500	244	46	25.195652173913043
75600	238	46	25.347826086956523
75700	242	43	25.41860465116279
75800	251	41	25.365853658536587
75900	259	39	25.615384615384617
76000	259	40	25.65
76100	257	40	25.825
76200	258	41	25.926829268292682
76300	258	42	25.857142857142858
76400	247	44	26.045454545454547
76500	249	44	26.022727272727273
76600	252	45	26
76700	245	50	26.14
76800	243	54	26.35185185185185
76900	244	55	26.6
77000	245	60	26.633333333333333
77100	247	61	26.60655737704918
77200	245	63	26.49206349206349
77300	251	59	26.47457627118644
77400	251	58	26.413793103448278
77500	251	64	26.453125
77600	239	70	26.457142857142856
77700	228	75	26.573333333333334
77800	227	79	26.68354430379747
77900	224	77	26.727272727272727
78000	220	82	26.5609756097561
78100	209	87	26.563218390804597
78200	203	86	26.593023255813954
78300	197	81	26.530864197530864
78400	190	83	26.397590361445783
78500	177	83	26.36144578313253
78600	168	89	26.314606741573034
78700	163	83	26.19277108433735
78800	163	81	26.061728395061728
78900	164	75	25.973333333333333
79000	157	75	25.986666666666668
79100	160	66	26
79200	157	67	26.029850746268657
79300	151	67	26.223880597014926
79400	146	66	26.28787878787879
79500	152	68	26.25
79600	156	65	26.384615384615383
79700	149	61	26.278688524590162
79800	155	58	26.29310344827586
79900	155	58	26.275862068965516
80000	161	54	25.962962962962962
80100	164	46	25.608695652173914
80200	170	48	25.75
80300	165	53	25.77358490566038
80400	168	52	25.846153846153847
80500	172	50	25.82
80600	174	48	25.979166666666668
80700	181	48	25.958333333333332
80800	179	47	25.80851063829787
80900	186	45	25.733333333333334
81000	176	54	25.925925925925927
81100	185	50	25.84
81200	189	51	25.941176470588236
81300	183	51	25.764705882352942
81400	180	53	25.77358490566038
81500	180	55	25.636363636363637
81600	180	55	25.654545454545456
81700	190	58	25.775862068965516
81800	187	58	25.75862068965517
81900	193	54	25.90740740740741
82000	188	59	25.847457627118644
82100	181	60	25.933333333333334
82200	182	59	25.89830508474576
82300	183	58	25.862068965517242
82400	180	57	26.24561403508772
82500	183	58	26.32758620689655
82600	183	55	26.490909090909092
82700	179	57	26.75438596491228
82800	182	59	27.11864406779661
82900	183	56	27.339285714285715
83000	180	60	27.216666666666665
83100	181	60	27.433333333333334
83200	188	60	27.466666666666665
83300	176	68	27.691176470588236
83400	172	68	27.852941176470587
83500	170	66	28.075757575757574
83600	173	63	28.26984126984127
83700	179	58	28.310344827586206
83800	182	53	28.22641509433962
83900	188	51	28.235294117647058
84000	191	49	28.102040816326532
84100	186	53	27.943396226415093
84200	187	50	27.88
84300	178	52	28.076923076923077
84400	176	53	27.79245283018868
84500	174	48	27.770833333333332
84600	176	47	27.51063829787234
84700	175	48	27.375
84800	183	48	27.166666666666668
84900	182	50	27.3
85000	182	57	27.17543859649123
85100	182	58	27.32758620689655
85200	180	56	27.375
85300	185	57	27.614035087719298
85400	189	56	27.410714285714285
85500	178	58	27.82758620689655
85600	172	60	27.916666666666668
85700	170	61	28.131147540983605
85800	183	58	28.189655172413794
85900	182	57	28.263157894736842
86000	182	55	28.454545454545453
86100	182	49	28.632653061224488
86200	184	45	28.6
86300	182	44	28.5
86400	188	43	28.74418604651163
86500	197	48	28.5
86600	198	51	28.529411764705884
86700	194	50	28.42
86800	194	51	28.352941176470587
86900	195	55	28.254545454545454
87000	191	54	28.5
87100	191	50	28.4
87200	190	53	28.50943396226415
87300	194	53	28.71698113207547
87400	199	46	28.869565217391305
87500	198	44	29.181818181818183
87600	205	42	29
87700	208	39	28.897435897435898
87800	211	36	28.72222222222222
87900	216	36	28.72222222222222
88000	215	36	29.166666666666668
88100	219	41	29.121951219512194
88200	222	38	29.13157894736842
88300	216	39	29.025641025641026
88400	215	43	29.093023255813954
88500	227	41	29.146341463414632
88600	225	40	29.2
88700	225	48	29.104166666666668
88800	230	51	29.11764705882353
88900	229	52	29.134615384615383
89000	235	52	29.26923076923077
89100	239	54	29.296296296296298
89200	238	54	29.24074074074074
89300	242	50	29.34
89400	237	52	29.442307692307693
89500	241	53	29.49056603773585
89600	240	54	29.314814814814813
89700	234	56	29.214285714285715
89800	222	61	29.098360655737704
89900	210	64	29.09375
90000	209	65	29.076923076923077
90100	201	69	29.17391304347826
90200	202	70	29.12857142857143
90300	196	76	29.157894736842106
90400	190	74	29.243243243243242
90500	181	79	29.518987341772153
90600	165	87	29.49425287356322
90700	159	82	29.475609756097562
90800	157	76	29.605263157894736
